number,Date,date1,total_cost,subtotal,country,total_payed,excise_tax,free_shipping,Margin $,Margin %
#243231,7/16/2021,7/16/2021,34.7,66.6,US,78.59,6,FALSE,22.7564,34.17%
#243230,7/16/2021,7/16/2021,16.5,43.31,US,55.3,6.6,FALSE,17.998,41.56%
#243229,7/16/2021,7/16/2021,16.94,33.89,US,45.88,0,FALSE,15.1148,44.60%
#243228,7/16/2021,7/16/2021,25.19,47.85,US,59.84,0,FALSE,20.2664,42.35%
#243226,7/16/2021,7/16/2021,102,190.84,US,197.83,22.28,TRUE,58.6468,30.73%
#243225,7/16/2021,7/16/2021,41,77.29,US,84.28,0,TRUE,32.9188,42.59%
#243224,7/16/2021,7/16/2021,22.2,46.24,US,58.23,6,FALSE,15.7108,33.98%
#243221,7/16/2021,7/16/2021,56.66,98.01,US,105,3,TRUE,34.15,34.84%
#243220,7/16/2021,7/16/2021,13.5,30,US,41.99,4.05,FALSE,10.7704,35.90%
#243219,7/16/2021,7/16/2021,20.25,37.43,US,49.42,0,FALSE,15.2032,40.62%
#243217,7/16/2021,7/16/2021,51,107.73,US,121.15,7.65,TRUE,44.234,41.06%
#243215,7/16/2021,7/16/2021,24,62.4,US,74.39,22.5,FALSE,12.9244,20.71%
#243211,7/16/2021,7/16/2021,12.94,25.36,US,37.35,0,FALSE,10.926,43.08%
#243210,7/16/2021,7/16/2021,28,53.74,US,65.73,0,FALSE,23.1108,43.00%
#243209,7/16/2021,7/16/2021,24.75,39.9,US,51.89,0,FALSE,13.0744,32.77%
#243207,7/16/2021,7/16/2021,30.36,54.42,US,66.41,6,FALSE,15.4036,28.31%
#243205,7/16/2021,7/16/2021,13.6,26.23,US,40.12,0,FALSE,11.0252,42.03%
#243204,7/16/2021,7/16/2021,14.75,29.21,US,41.2,0,FALSE,12.812,43.86%
#243202,7/16/2021,7/16/2021,42.05,76.02,US,83.01,0,TRUE,30.6496,40.32%
#243200,7/16/2021,7/16/2021,22,52.76,US,68.43,3.3,FALSE,24.7228,46.86%
#243198,7/16/2021,7/16/2021,18.75,43.06,US,55.05,9,FALSE,13.108,30.44%
#243197,7/16/2021,7/16/2021,39.75,66.64,US,83.46,0,FALSE,23.5516,35.34%
#243196,7/16/2021,7/16/2021,34,54.78,US,70.74,0,FALSE,17.9504,32.77%
#243194,7/16/2021,7/16/2021,28,49.71,US,61.7,0,FALSE,19.242,38.71%
#243193,7/16/2021,7/16/2021,46.9,78.73,US,90.72,0,TRUE,28.2012,35.82%
#243192,7/16/2021,7/16/2021,25.85,43.26,US,55.25,0,FALSE,15.2,35.14%
#243190,7/15/2021,7/15/2021,43.75,83.94,US,95.99,6.56,TRUE,29.7904,35.49%
#243189,7/15/2021,7/15/2021,10.98,21.13,US,33.12,2.26,FALSE,6.5652,31.07%
#243188,7/15/2021,7/15/2021,44.18,81.08,US,88.07,0,TRUE,33.3772,41.17%
#243187,7/15/2021,7/15/2021,27.5,54.91,US,66.9,0,FALSE,24.734,45.04%
#243186,7/15/2021,7/15/2021,15,33.94,US,45.93,6,FALSE,11.1028,32.71%
#243185,7/15/2021,7/15/2021,48.2,72.69,US,84.68,0,FALSE,21.1028,29.03%
#243183,7/15/2021,7/15/2021,14.96,25.41,US,37.4,0,FALSE,8.954,35.24%
#243182,7/15/2021,7/15/2021,15.29,27.55,US,39.54,5.1,FALSE,5.5784,20.25%
#243180,7/15/2021,7/15/2021,46.5,68.81,US,80.8,0,FALSE,19.078,27.73%
